instructions_covered,branches_covered,time_taken_nanos
908,61,10695829
911,62,10889075
1025,69,12207694
1025,69,12309176
1107,75,12580801
1107,75,12670591
1571,102,16040026
1571,103,16149454
1571,103,16251297
1574,104,16626528
1623,110,19183864
1626,111,19304393
1701,116,20675801
1731,118,20953628
1734,119,21072163
2126,142,21638355
2129,143,22272367
2170,148,24528743
2173,149,24613363
2244,154,28127933
2247,155,28442299
2440,169,29574935
2443,170,29689693
2446,171,29813057
2596,187,32092206
2599,188,32296042
2878,201,36161737
2881,202,36269020
2881,202,36371094
2954,209,41067233
2957,210,41272933
2998,217,43292239
2998,217,43391938
3042,223,44126150
3045,224,44289419
3082,229,47882388
3085,230,48148632
3202,240,49986365
3202,241,50085553
3464,258,52821167
3467,259,52926837
3470,260,53020024
3470,260,53180698
3711,271,54393967
3711,271,54508374
3714,272,54771232
3782,280,56721017
3782,280,56822770
3783,281,61542654
3798,283,135092051
3798,283,169890704
4063,297,171427607
4108,303,207678352
4108,303,207827655
4108,303,208939131
4108,303,212067329
4108,303,216611962
4244,312,287115787
4244,312,326853721
4247,314,387548267
4274,318,389262686
4274,318,399938036
4326,324,401935922
4326,324,412325801
4326,324,418217015
4326,324,425411799
4328,326,427833789
4328,326,431181813
4329,327,634580315
4402,330,696416375
4402,330,705366365
4402,330,707071015
4402,330,733618784
4402,330,985928172
4402,330,989097288
4402,330,1255442113
4402,330,1268969989
4402,330,1277957480
4402,330,1563524312
4402,330,1588071829
4402,330,1588984729
4402,330,1598077400
4402,330,1598587336
4402,330,1889765462
4402,330,1916147355
4402,330,1930570147
4402,330,2058379547
4402,330,2878472882
4402,330,3548201143
4402,330,3572397175
4402,330,4814193953
4402,330,4878813318
4402,330,4936015537
4402,330,5249180749
4402,330,5302417954
4402,330,5571922298
4402,330,6046985469
4402,330,7159025750
4402,330,7160037948
4402,330,7835441497
4402,330,7851191443
4402,330,7854715902
4402,330,7937226631
4402,330,7963156149
4402,330,8748039384
4402,330,9591730813
4402,330,9777256847
