instructions_covered,branches_covered,time_taken_nanos
208,12,8708373
208,12,8955882
208,12,9073355
211,13,9633156
308,19,13302870
311,20,13412447
375,25,15085678
378,26,15415123
456,31,18184661
459,32,18313094
523,37,20114318
526,38,20189901
628,45,22338763
631,46,22537700
726,52,23001739
729,53,23483743
895,58,24606210
898,59,24711459
1133,70,28603115
1133,70,28712713
1212,76,32550415
1215,77,32680381
1664,85,33096670
1664,85,33247716
1892,96,42662919
1892,96,42787525
1895,97,43454599
1937,102,44434035
1940,103,44737259
2003,109,46584640
2006,110,46790200
2094,115,48458000
2097,116,48661887
2197,123,52047553
2200,124,52487106
2272,130,52720628
2275,131,52912091
2498,143,53923899
2498,143,54026874
2501,144,54162902
2504,145,54366558
2507,146,54567719
2613,151,58844133
2616,152,58989639
2860,167,61432638
2860,167,61877371
2863,168,62188441
2863,168,63480289
2863,168,64276868
2955,173,65223582
2958,174,65479988
3043,183,67832025
3046,184,68194362
3309,199,72803025
3312,200,72969291
3315,201,73080622
3319,202,76344336
3326,203,195251923
3326,203,195759294
3326,203,200731807
3326,203,268136573
3326,203,272776987
3426,214,275572745
3426,214,305659200
3475,218,340832665
3475,218,365572429
3475,218,380820936
3475,218,420962045
3475,218,428184422
3475,218,448394521
3475,218,448726851
3476,219,485621688
3476,219,494136604
3695,225,502255791
3695,225,640266929
3695,225,872927984
3695,225,908838706
3695,225,917137864
3695,225,1397999211
3695,225,1413609985
3695,225,1424435579
3695,225,1433098597
3695,225,1450200556
3695,225,1485133786
3695,225,1490706567
3695,225,1507103941
3695,225,1709691725
3695,225,2291775184
3695,225,3080143895
3695,225,3872691897
3695,225,4460676681
3695,225,5428303337
3695,225,8622232776
3695,225,8982059068
3695,225,9283928298
3695,225,9399543997
3695,225,9561781637
