instructions_covered,branches_covered,time_taken_nanos
376,23,8389568
376,23,8477094
379,24,9056903
384,26,9832563
480,34,12018645
480,34,12176845
510,36,12650392
848,50,12829502
894,57,16739101
894,57,16863918
954,63,17911503
957,64,18167077
1001,71,22005592
1004,72,22257399
1081,79,23335161
1081,79,23524760
1269,88,23636863
1272,89,24016412
1705,125,27450209
1708,126,28199569
1787,135,30261106
1790,136,30412924
1855,143,33602899
1855,143,33700865
1861,146,34014730
1864,147,55545722
1864,147,195255071
1864,147,251593226
1864,147,754107605
