instructions_covered,branches_covered,time_taken_nanos
370,27,9569515
410,28,9744226
413,29,10292244
418,31,10853077
509,39,13658914
874,54,13822334
877,55,13943704
880,56,14463710
918,62,17487190
921,63,17604793
979,69,20995127
982,70,21486809
1030,78,23633076
1033,79,23937784
1110,85,24204610
1113,86,24496753
1143,88,24624235
1304,96,24800779
1741,133,29353788
1744,134,30385142
1826,144,31330374
1829,145,31440933
1899,152,35177334
1899,152,35399465
1902,155,40027536
1902,155,112247429
1905,156,143842284
1905,156,162465747
1905,156,184098143
