instructions_covered,branches_covered,time_taken_nanos
349,26,9174506
350,27,9266320
573,40,11368064
576,41,11559737
581,43,11669365
581,43,11897277
622,50,17171011
625,51,17612217
706,57,21131386
743,62,21361282
746,63,21528830
785,69,25966199
788,70,26174514
828,75,28352932
831,76,28472950
903,81,29132449
906,82,29383525
1124,97,32890161
1157,100,33031789
1160,101,33313123
1205,107,34231513
1208,108,34472650
1453,119,37067628
1495,122,37355784
1498,123,38167592
1544,131,38397027
1547,132,38687748
1609,138,42210975
1612,139,42644096
1649,144,44448686
1652,145,44689031
1716,154,48899080
1719,155,49177928
1843,162,52106569
1846,163,52231946
1909,169,55960342
1912,170,56111959
1948,175,58395377
1951,176,59019099
2016,181,60092713
2019,182,60262235
2080,189,63122585
2080,189,63217645
2147,194,65829395
2261,200,66022902
2264,201,66134403
2541,214,67909637
2544,215,68591890
2614,221,72409676
2617,222,72950511
2680,227,73234328
2683,228,73395183
2685,229,76196151
2688,230,96409538
2688,230,125987352
2688,230,126804280
2691,231,170386244
2691,232,463167031
