instructions_covered,branches_covered,time_taken_nanos
350,35,9124242
353,36,9220515
515,46,12396834
515,46,12997252
619,55,13512097
622,56,13671169
737,62,16812703
740,63,16940154
819,70,21298163
925,79,21492111
928,80,22005484
1083,85,26068815
1086,86,26436171
1241,91,26732522
1244,92,26987375
1300,99,32373383
1303,100,33068089
1356,106,37615627
1359,107,37741896
1708,142,41004059
1992,160,43257760
1992,162,44073866
1992,162,44351963
1992,162,46053759
2022,169,47725697
2025,170,47830716
2128,181,48223761
2133,184,51198639
2192,192,52094086
2305,197,71388271
2345,199,83352475
2348,200,85893621
2399,203,87208042
2413,208,87455080
2500,219,88458401
2533,221,105869147
2755,245,107801139
2761,247,108028289
2809,252,122934488
2848,254,148934633
2848,254,150663559
2850,255,187908984
2850,256,190459538
2850,257,230001516
3109,274,419449707
3109,274,548442767
