instructions_covered,branches_covered,time_taken_nanos
152,7,8748880
155,8,8933370
229,13,9061944
232,14,9163035
340,19,9824088
436,25,10152180
436,25,10246819
571,35,12458251
574,36,12548792
725,42,14701231
728,43,14885541
874,48,17818829
877,49,18074254
972,55,19039393
972,55,19135264
1048,60,19888562
1051,61,20006696
1168,68,20650997
1168,68,20747981
1273,74,23798001
1276,75,24048025
1373,80,29444602
1466,86,30473762
1466,86,30601665
1562,91,33378397
1665,97,33869077
1668,98,34791946
1672,99,35926015
1675,100,49197437
1678,101,98037085
1681,102,107761094
