instructions_covered,branches_covered,time_taken_nanos
343,24,9747593
343,24,9836822
511,34,14429526
511,34,14532861
761,46,17862672
761,46,17973713
1127,61,18695330
1130,62,18943611
1195,68,20452640
1198,69,20581965
1242,75,21584465
1242,75,21662784
1302,80,24732862
1305,81,24925106
1581,93,27649891
1581,93,27799163
1623,96,27905295
1626,97,28445629
1626,97,29706768
1670,103,34912985
1673,104,35107754
1912,117,36358525
1915,118,36489643
2104,127,36693450
2107,128,36893990
2170,134,43109609
2170,134,43211151
2433,144,44001860
2436,145,44315444
2499,153,49195382
2499,153,49438844
2499,154,50503241
2500,155,1107667160
