instructions_covered,branches_covered,time_taken_nanos
428,31,8000191
431,32,8100241
431,32,8224206
433,33,8451537
605,50,9891586
629,53,10039236
683,58,10158071
685,59,10270404
685,59,12350556
685,59,12678828
771,66,14768338
774,67,14861374
843,76,17632947
843,76,17745531
958,88,18145599
961,89,18221963
1011,93,18315902
1014,94,18560315
1014,94,19128091
1075,99,20513666
1078,100,20712173
1079,101,23994333
1079,101,39541618
1079,101,39845885
1079,101,58419354
1079,101,61624268
1079,101,62878726
1079,101,63604341
1079,101,76277829
1079,101,77844168
1079,101,83256365
1079,101,89242680
1079,101,191278746
