instructions_covered,branches_covered,time_taken_nanos
175,11,8984558
273,14,9075370
273,14,9152877
273,14,9250552
527,28,11326346
527,28,11414613
530,29,11535612
732,40,11748816
796,46,12403126
974,51,12564472
977,52,12761736
1177,58,14375414
1180,59,14627973
1226,65,17086833
1229,66,17190259
1306,74,19479147
1484,79,19592362
1484,79,19743208
1542,85,19880899
1542,85,20034981
1574,87,20123959
1640,94,23564930
1643,95,23892070
1644,96,26100726
1644,96,107691365
1644,96,137864840
1647,97,349142219
