instructions_covered,branches_covered,time_taken_nanos
417,22,8853489
564,29,9128440
567,30,9508761
936,48,13317730
936,48,13480779
939,49,13941001
1161,64,15639119
1164,65,15726915
1164,65,17056645
1237,71,19914351
1240,72,20012477
1310,80,21804183
1310,80,21946052
1508,91,22868260
1508,91,22990341
1511,92,23429794
1824,102,27879076
1824,102,27979657
1859,105,28090627
1862,106,28549627
1899,108,29204438
2004,114,32568113
2007,115,32667210
2007,115,32838966
2072,122,35330167
2072,122,35410209
2169,128,38776349
2169,128,38881949
2202,129,41162431
2202,129,41585873
2205,130,42858345
2243,131,95165417
