instructions_covered,branches_covered,time_taken_nanos
758,64,9112019
758,64,9214684
761,65,9810813
764,66,10675061
1252,98,13343318
1252,98,13476951
1252,99,14104861
1309,108,17654108
1309,108,17763485
1311,109,18339857
1362,118,20908045
1362,118,21112021
1364,119,21369609
1468,131,22196747
1471,132,22454566
1471,132,22695212
1526,140,23185781
1527,141,23288506
1529,142,23869457
1585,150,24279033
1588,151,24477349
1588,151,24610822
1839,173,24968670
1839,173,25093918
1842,174,25960590
1920,184,26902666
1923,185,27027402
1927,187,31272047
1936,189,33724074
