instructions_covered,branches_covered,time_taken_nanos
1292,60,9773763
1292,61,9870477
1379,71,10083761
1380,72,10307906
1472,79,13325876
1472,79,13406849
1552,87,15818800
1552,87,15919221
1649,96,19021660
1652,97,19344623
1777,102,20447753
1778,103,20813877
1901,108,25596141
1903,109,26097270
1949,116,29711309
1950,117,30084977
2001,123,34278515
2004,124,34410535
2321,159,37733844
2570,177,38405707
2606,185,38958194
2606,185,39034930
2614,188,43474824
2673,196,45053476
2673,196,45284173
2674,197,50816248
2794,206,56479030
2834,208,57102502
2885,211,75591953
2918,213,87991553
2989,220,89499321
3203,242,93496837
3209,244,94053342
3242,246,99497980
3242,246,103669456
3290,251,111883654
3424,259,125884168
3424,260,159905686
3424,260,230143462
3438,265,241120416
3461,271,242937399
3462,272,244164515
3462,272,258941781
3703,289,446595476
3705,290,1017553005
