instructions_covered,branches_covered,time_taken_nanos
421,38,8500340
421,38,9212149
500,46,12229277
503,47,12320771
503,47,12412525
674,53,14629827
677,54,14896933
713,60,17762604
713,60,18123989
767,71,21451416
770,72,21575892
817,77,25181705
884,83,28744408
884,83,28881197
955,91,31909216
955,91,31996822
1025,96,32126838
1028,97,32466231
1103,102,34050855
1106,103,34313963
1167,109,37393750
1170,110,37518857
1224,116,38988322
1224,116,39079415
1281,122,42412131
1284,123,42512311
1288,124,45004083
1291,125,85066360
