instructions_covered,branches_covered,time_taken_nanos
521,35,9804823
594,43,9987779
957,58,10170546
960,59,10288549
960,59,10380724
1003,65,12579060
1006,66,12849994
1048,72,13545382
1049,73,14049277
1138,78,17050825
1140,79,17523631
1253,85,21039013
1256,86,21124395
1300,93,24081920
1300,93,24222617
1412,99,27003067
1412,99,27136500
1580,104,30706135
1583,105,31322503
1690,113,31492675
1851,121,31652148
1851,121,31795219
1854,122,32062576
2002,130,33670082
2075,139,34148078
2078,140,34351083
2144,146,34772001
2147,147,35149797
2265,152,37661807
2268,153,37793136
2270,155,41212086
2310,156,44838078
2311,157,45457723
2316,159,46264261
