instructions_covered,branches_covered,time_taken_nanos
216,12,8525218
219,13,8815778
409,20,12242964
409,20,12371327
507,25,18331563
510,26,18873440
644,37,19250575
647,38,19468378
728,43,22236704
731,44,22337776
835,50,23545545
838,51,23671964
941,56,23977504
944,57,24168886
1061,64,26557002
1061,64,26746511
1164,69,30403512
1167,70,30523560
1268,76,33662399
1268,76,33761887
1270,77,38296873
1327,80,681953101
1327,81,798838256
1384,84,878925321
1478,90,1336637118
1478,91,1338139496
1692,96,1422088139
1692,97,1733558372
