instructions_covered,branches_covered,time_taken_nanos
395,17,9198614
395,17,9331616
398,18,9653055
510,24,12807514
510,24,12892976
571,30,14616833
574,31,15048401
695,37,17353229
695,37,17433842
894,45,18203370
897,46,18546621
1027,53,19335866
1030,54,19439212
1323,62,22918967
1326,63,23218485
1364,68,27926037
1367,69,28251754
1429,74,29567307
1432,75,29712012
1619,81,30669276
1622,82,30765759
1685,88,32552956
1688,89,32801237
1831,95,33682136
1932,98,33819707
1970,99,33984669
2028,105,34245454
2028,105,34313953
2187,110,37261530
2190,111,37373773
2373,116,39058516
2376,117,39435280
2578,122,42322171
2581,123,42445905
2640,128,48000743
2643,129,48081837
2706,135,48497124
2709,136,49061544
2824,144,50268080
2827,145,50359333
2935,150,50939603
2938,151,51284326
3046,156,54451830
3049,157,55029184
3136,164,56900391
3278,170,57005149
3278,170,57093046
3278,170,57439713
3278,170,57652256
3278,170,58214171
3278,170,59594597
3351,177,60294173
3354,178,60540991
3577,186,63798545
3577,186,63920155
3700,192,65575302
3703,193,65739593
3774,200,69686534
3774,200,69803385
3837,205,71868479
3840,206,72217681
3844,207,73054767
3847,208,123545189
3847,208,261800538
3847,208,275483160
3847,208,376580755
3847,208,380188102
3855,209,965320926
3904,211,1127839590
3904,211,1129761583
3904,211,1137636468
4304,232,1140251814
4358,240,2172533419
4394,244,4063311011
4408,246,4065705689
