instructions_covered,branches_covered,time_taken_nanos
360,15,8389400
360,16,8845364
360,16,8929053
360,16,12640577
649,30,13860860
649,30,13985907
649,30,14135210
652,31,14385003
652,31,15102433
652,31,15366063
726,37,16097028
729,38,16366749
770,43,19089299
773,44,19221249
814,49,22096860
817,50,22277853
917,61,24295487
917,61,24400856
1350,79,24605334
1350,79,24794903
1410,86,25033235
1413,87,25243153
1525,101,28187824
1624,110,28342727
1627,111,28677662
1751,116,29229818
1754,117,29478910
1850,127,34137019
1850,127,34224765
1853,128,34725223
1909,135,37953342
1909,135,38034626
1913,136,40026721
1913,136,62034341
1913,136,62936561
1913,136,63405320
1938,137,87834599
1941,138,87926814
1944,139,88138505
1944,139,124552008
1944,139,126172429
2124,150,239329451
2124,150,301331130
2124,150,1312340993
2124,150,3131669268
