instructions_covered,branches_covered,time_taken_nanos
220,16,10532432
223,17,10642600
322,24,14271718
325,25,14419919
413,32,17610606
416,33,17805305
463,39,20650067
463,39,20944535
616,54,21735664
616,54,21843188
619,55,21965079
622,56,22082702
687,62,26542044
690,63,26750569
753,68,27696241
756,69,27850353
887,74,28896516
890,75,29117876
1002,80,34033533
1005,81,34197533
1172,95,37388832
1172,95,37646981
1238,103,40294979
1241,104,40467657
1342,116,41324300
1345,117,41735009
1837,158,43151483
1841,159,43801956
