instructions_covered,branches_covered,time_taken_nanos
552,35,8303427
555,36,8437180
592,41,8545566
595,42,8615538
1051,67,10599098
1054,68,11487612
1118,74,14702505
1121,75,14859743
1181,81,17796118
1184,82,17888974
1483,98,21651936
1486,99,21927148
1550,106,26654076
1553,107,26972129
1961,127,29554774
1964,128,29724736
2057,134,31717052
2060,135,32006881
2118,141,33184413
2121,142,33361018
2185,151,33841308
2188,152,34233311
2282,158,37064927
2285,159,37266930
2397,164,41169036
2400,165,41292089
2514,170,45256563
2517,171,45385277
2581,177,45566430
2584,178,45743346
2588,179,46044737
2591,180,605016326
2594,181,915513561
2597,182,1209088483
2600,183,1927390215
2603,184,2394675745
