instructions_covered,branches_covered,time_taken_nanos
494,35,8186305
494,35,8270314
497,36,8551678
500,37,9651853
701,48,12614678
734,50,12718154
734,50,12827101
763,53,12921069
764,54,13562985
765,55,13662815
867,62,17520406
867,62,17625244
870,63,17757054
881,65,18029080
1095,80,22402289
1098,81,22543536
1098,81,22796295
1379,93,25556727
1379,93,25672456
1382,94,26175620
1708,112,29635698
1708,112,29757018
1711,113,29981583
1821,123,34647807
1821,123,34764247
1870,125,34900265
1873,126,35155659
2121,137,37055931
2121,137,37172151
2156,140,37341742
2189,146,37633816
2230,149,37783910
2233,150,38137901
2571,162,40961192
2571,162,41118180
2574,163,41242265
2632,167,42506351
2635,168,42918783
2635,169,45206429
2635,169,96479575
2635,169,146581511
2636,170,676243473
