instructions_covered,branches_covered,time_taken_nanos
800,45,9266022
803,46,9367374
854,56,11419132
854,56,11503652
898,63,11927205
898,63,12012898
986,71,15755952
986,71,15862584
989,72,16087440
1359,88,16222025
1362,89,16543294
1405,96,20185877
1408,97,20297118
1454,102,25379480
1457,103,25621269
1495,111,29807473
1495,111,29881704
1751,123,34428571
1751,123,34517570
1754,124,34848347
1790,129,40224536
1793,130,40432260
1817,137,40703704
1817,137,40786281
1898,146,44797864
1962,152,44943760
1962,152,45056424
2050,161,48698066
2050,161,48787205
2245,171,48899257
2248,172,49067236
2251,173,49318111
2290,178,53872573
2293,179,54070789
2331,184,59026521
2334,185,59113416
2372,190,62712306
2375,191,62981697
2498,198,63395672
2545,203,63563800
2548,204,63673588
2548,204,63773818
2551,205,64175349
2820,227,64762933
2834,229,66436715
2834,230,67987184
2875,235,69159356
2875,235,69261980
3096,242,71308349
3099,243,71467340
3140,248,73383852
3140,248,73499542
3227,252,77737003
3230,253,77890654
3385,263,78512643
3385,264,81230263
3385,264,128539066
3385,264,130570928
3388,265,144832467
3390,266,145043476
3390,266,145227135
3393,267,181519809
3396,268,183349437
3464,271,183948893
3523,275,184622159
3526,276,194926489
3529,277,200545218
3532,278,207632450
3532,278,235838458
3590,282,273342619
3619,284,277610017
3648,286,284554989
3892,308,304674030
3921,310,308798387
4033,322,315371855
4069,325,469657789
4072,326,525415506
4112,331,527904473
4115,332,536415233
4162,338,553047967
4202,343,579889719
4271,349,866867671
4311,354,879659835
4311,355,1105815232
4351,360,1115431618
4458,371,1155678376
4459,372,1280454912
4501,377,1382734419
4550,383,1392074742
4590,388,5421775260
4645,397,6239493542
4645,397,7306471870
4796,407,8815015267
