instructions_covered,branches_covered,time_taken_nanos
376,23,7928867
376,23,8014139
379,24,8581334
384,26,8977815
480,34,11216358
845,49,11455982
848,50,11609934
848,50,11710525
894,57,14295224
894,57,14439196
954,63,17932086
957,64,18224971
1001,71,21545855
1004,72,21635054
1078,78,23851765
1266,87,24135283
1269,88,24274677
1272,89,24368174
1705,125,25681303
1708,126,25831488
1787,135,29376607
1790,136,29872286
1852,142,30651533
1855,143,31213438
1861,146,35239939
1864,147,97821489
1864,147,107578170
1864,147,208453296
1864,147,627353038
