instructions_covered,branches_covered,time_taken_nanos
477,33,8473008
480,34,8609096
650,45,11278305
653,46,11383405
653,46,11594675
812,55,13736785
812,55,14080336
815,56,14800481
865,62,16873530
868,63,16985342
925,70,19795087
925,70,19972383
1355,104,22068285
1355,104,22151092
1477,112,22520472
1841,160,23503796
1841,160,24249229
1841,160,25585441
1912,167,26282152
1915,168,26356763
1977,175,26769816
2046,181,28676019
2046,181,28759507
2046,181,29083792
2124,195,30423431
2124,195,30844308
2124,195,35799710
2124,195,37712445
2124,195,38940723
2189,199,41547053
2233,204,41779654
2280,206,44922430
2791,267,60935009
2847,276,61369051
2847,276,62615564
2852,278,63930666
2959,285,72222221
2959,285,76605579
2959,285,78030019
3077,294,131733582
3182,304,132600866
3220,305,166109263
3220,305,175268543
3220,305,229527579
3220,305,230166650
3220,305,232042225
3220,305,233418944
3220,305,277809387
3220,305,287162383
3258,306,350313442
3258,306,385415300
3301,307,430616609
3332,311,431170920
3332,311,432021342
3332,311,434544293
3332,311,435170901
3332,311,466759089
3332,311,467311957
3332,311,471293473
3332,311,485647819
3332,311,517398315
3332,311,537619199
3332,311,538509085
3451,319,587099438
3453,320,588828355
3491,321,589911908
3491,321,591427641
3589,331,625354152
3589,331,657019396
3589,331,675433636
3589,331,686690311
3632,332,858699757
3675,333,920099316
3713,334,924245044
3751,335,1032673717
3751,335,1080728774
3751,335,1332361840
3754,336,1539849728
3754,336,2836963835
3754,336,8693151299
