instructions_covered,branches_covered,time_taken_nanos
394,30,9457134
395,31,9549279
451,37,13202883
451,38,13501209
496,44,16957850
496,44,17033985
669,50,20133689
672,51,20330142
764,58,20835389
767,59,20967660
836,65,24918397
879,68,25016483
879,68,25234617
942,73,26787620
945,74,27262110
1063,85,28339482
1063,85,28430755
1066,86,28647025
1140,91,33295395
1143,92,33395444
1205,99,35367672
1208,100,35544036
1208,100,39284145
1254,107,40457559
1254,107,40813163
1314,112,41765688
1317,113,42115111
1396,122,45715675
1399,123,45894383
1469,128,49714523
1472,129,49820695
1538,135,51583315
1581,138,51773115
1581,138,52163465
1664,145,55294089
1667,146,55389700
1738,152,57217224
1738,152,57310130
1801,159,58252335
1804,160,58342055
1805,161,61999948
