instructions_covered,branches_covered,time_taken_nanos
330,27,8542911
332,28,8794267
521,41,11122590
561,42,11364970
564,43,11476862
630,49,11749398
633,50,11986267
1166,86,13976680
1166,86,14107317
1192,90,14268533
1245,100,16962358
1248,101,17034455
1291,110,18166440
1294,111,18299152
1631,139,18962920
1631,139,19224395
1634,140,20023460
1702,145,24475668
1705,146,24719440
1762,151,29307496
1765,152,29404850
1824,157,31173603
1827,158,31275876
1903,166,32632428
1906,167,33202959
1970,173,35520632
1973,174,35775565
2037,180,39322147
2037,180,39397460
2039,181,40075665
2042,182,43784143
2042,182,224251733
2042,183,2474123549
