instructions_covered,branches_covered,time_taken_nanos
532,30,11140074
633,36,11486060
636,37,12272761
756,44,14621453
759,45,14715561
918,55,15473988
918,55,15555242
1021,63,21899747
1021,63,22047507
1151,71,23529306
1151,71,23636208
1217,77,25200393
1217,77,25286426
1288,85,29316594
1291,86,29473542
1456,98,30323052
1456,98,30417260
1459,99,30643419
1553,105,32859208
1556,106,33097851
1627,113,36819615
1627,113,36915206
1756,118,39255752
1759,119,39482983
1875,125,42645015
1878,126,42878378
2005,135,47290681
2134,143,47484037
2137,144,47923580
2202,150,49428372
2205,151,49848989
2206,152,51826748
2208,153,52925861
2211,154,129135301
