instructions_covered,branches_covered,time_taken_nanos
508,34,9262145
593,42,9423751
956,57,9580088
959,58,9689445
959,58,9792230
993,64,11817909
993,65,12103220
1054,71,12789851
1057,72,13250224
1166,77,15975960
1169,78,16475457
1279,84,20454929
1282,85,20548406
1327,92,23711601
1327,92,23837590
1442,98,26847966
1442,98,26991888
1611,103,31066501
1614,104,31638445
1723,112,31816172
1884,120,31965845
1884,120,32133112
1887,121,32485330
2319,157,34484088
2322,158,34859680
2400,167,35340812
2403,168,36070405
2469,174,36434425
2472,175,36761034
2590,180,37645120
2593,181,39112671
2594,184,43378556
2634,185,47317401
2637,186,47618342
2642,188,48374605
2642,188,86196399
2642,188,498847338
2645,189,632922450
2645,189,1369736126
