instructions_covered,branches_covered,time_taken_nanos
2545,127,9138090
2546,128,9286511
2578,135,11991057
2578,136,12752160
2590,141,16236424
2591,142,16386638
2627,148,17443862
2628,149,17544082
3226,180,22038991
3226,180,22234201
3229,181,22346845
3229,182,22522147
3513,196,22987188
3513,196,23382878
3513,197,23511152
3553,203,25337553
3577,205,25426261
3746,215,26185410
3787,220,26625955
3790,221,27464645
3828,229,28619483
3828,230,28733560
3865,235,32029125
3866,236,32612962
3929,246,33512187
3929,247,33761048
4071,260,34022103
4106,265,34155316
4107,266,34326751
4199,279,35029693
4355,289,35198743
4356,290,35393292
4368,297,36819745
4567,311,41121518
4583,313,41288324
4583,313,41410025
4592,321,41603211
4592,322,41739239
4615,325,43369209
4648,329,47000962
4648,329,47108756
4649,330,47233332
4649,332,49257749
4649,332,100880129
4649,332,114499081
4652,333,142606283
4652,333,214387260
4652,333,228723402
4652,334,464132454
4693,337,547265938
4693,337,2384681324
4693,337,2471841800
