instructions_covered,branches_covered,time_taken_nanos
239,12,8199901
239,12,8281105
657,36,12281767
660,37,12371588
661,38,12495553
682,40,12742200
861,56,16237575
861,56,16306876
861,56,16761628
1104,67,17215869
1107,68,17294227
1149,71,17374449
1149,71,17600888
1317,82,20083905
1320,83,20221275
1408,89,20858253
1411,90,21024578
1471,96,24778052
1474,97,24922676
1591,102,25953790
1594,103,26195388
1830,113,29220091
1830,113,29379332
1833,114,29498659
1882,121,30303344
1882,121,30378827
1945,126,33256130
1948,127,33415202
2127,132,36481894
2130,133,36574980
2134,134,39546543
2134,134,57756115
2134,134,68530656
2134,134,169987228
2135,135,524595721
