instructions_covered,branches_covered,time_taken_nanos
336,26,8375684
336,26,8451738
361,28,8528955
465,36,8717652
468,37,8801381
565,46,12340829
568,47,12650576
624,55,14211455
627,56,14324148
742,64,16142825
745,65,16429870
797,73,19729523
800,74,19814013
965,82,20296548
968,83,21058131
1029,88,23593176
1032,89,23860833
1134,97,24076993
1204,102,24203042
1207,103,24270229
1254,110,24472392
1257,111,24561882
1364,120,25162951
1367,121,25983507
1474,131,27405622
1592,139,27706001
1646,146,27838543
1727,156,29615360
1730,157,29718556
1744,161,32910074
1747,162,34574489
1750,163,58884955
1753,164,74338465
1756,165,76321463
