instructions_covered,branches_covered,time_taken_nanos
405,29,9838076
408,30,10365777
498,40,13033152
501,41,13223122
561,46,13676912
564,47,13961281
680,56,16726352
683,57,16881306
745,62,17206702
748,63,17336128
858,68,17775079
861,69,17993033
939,79,20358336
942,80,20682580
1034,87,21608225
1037,88,21723664
1100,93,24291941
1103,94,25374553
1244,106,26177505
1247,107,26414464
1286,112,28005599
1289,113,28095179
1356,119,30264711
1359,120,30380701
1429,128,34062189
1429,128,34138453
1540,137,34558479
1618,148,34946405
1693,156,35328379
1696,157,35413730
1778,163,38186706
1781,164,38349375
1844,171,40771365
1847,172,40986152
1935,183,44398670
2025,194,44650527
2028,195,44737372
2028,195,49461185
2098,206,49864610
2186,216,53219508
2423,233,53520970
2426,234,53695530
2466,239,56660580
2469,240,56776620
2587,245,59323577
2590,246,59541120
2638,252,62590699
2638,252,62730404
2775,258,63347604
2784,260,66537159
2787,261,116975026
2790,262,147595802
2793,263,157819108
