instructions_covered,branches_covered,time_taken_nanos
404,28,7833547
405,29,8510670
508,36,13027732
511,37,13492072
663,48,17294328
663,48,17444122
738,54,22539780
796,59,22671359
799,60,22815803
860,65,24608020
863,66,24752464
929,74,26606298
932,75,26813420
993,80,28118534
996,81,28198395
1296,94,30351345
1299,95,30478597
1299,95,30915765
1371,103,31958852
1374,104,32166606
1464,111,36371546
1650,120,36515318
1653,121,36727460
1653,121,36933621
1712,126,40781825
1715,127,41010839
1941,135,43437528
1944,136,43673746
1945,137,48030864
1949,138,48572651
1949,138,83351989
1949,138,84122269
1949,138,130286014
2266,151,130511031
2269,152,130641438
