instructions_covered,branches_covered,time_taken_nanos
511,40,10920829
604,45,11123263
607,46,11379679
654,53,15063291
657,54,15236309
714,62,18248848
717,63,18364417
893,72,19086125
893,74,19210441
896,75,19900899
1092,85,24157176
1095,86,24373977
1095,86,24548608
1342,96,28051868
1345,97,28636145
1404,102,32846275
1407,103,33290207
1466,108,37739149
1469,109,38301655
1642,115,41710446
1645,116,41854489
1767,125,46578913
1770,126,46800012
1770,126,47112214
1965,138,52152938
1965,138,52275279
1968,139,53313718
2051,150,56624453
2054,151,57052945
2175,156,58448580
2191,158,58734372
2195,159,60432119
2198,160,60565933
2201,161,129189928
