instructions_covered,branches_covered,time_taken_nanos
501,32,8671185
504,33,9185039
570,39,10189723
573,40,10260597
762,53,11903060
765,54,11984655
768,55,12123438
945,61,15864539
948,62,16552883
995,69,20371972
995,69,20437355
1058,74,22721735
1061,75,23335539
1131,80,24627377
1134,81,24737446
1432,98,26669207
1435,99,26903762
1616,106,30318393
1619,107,30563999
1787,112,35027038
1790,113,35144270
1833,119,40190965
1833,119,40331021
1874,124,41653277
1877,125,41724592
1962,131,45010520
1965,132,45200460
2098,146,49703034
2101,147,49784228
2104,148,50208552
2183,154,51967556
2186,155,52070000
2256,162,52438869
2256,162,52510745
2538,175,52991376
2541,176,53280213
2651,182,56250694
2654,183,56423962
2714,188,60809213
2717,189,61063505
2718,190,61739647
