instructions_covered,branches_covered,time_taken_nanos
522,27,9061234
709,35,9323972
780,40,9755409
783,41,9973453
915,55,12240509
915,55,12359765
1003,63,16811172
1003,63,17038744
1163,67,20035593
1282,72,20991305
1285,73,21281365
1449,80,24538839
1572,88,27682066
1575,89,27811762
1680,95,29523136
1778,100,34033634
1937,104,34460764
2043,111,35981186
2153,118,39382863
2285,132,45432479
2310,135,45521488
2313,136,45633039
2430,146,45922588
2430,146,46116556
2433,147,46237104
2451,151,47488276
2451,151,51069473
2454,152,52812397
2457,153,83457600
