instructions_covered,branches_covered,time_taken_nanos
331,16,10508958
334,17,10884650
334,17,11197503
407,24,14515822
410,25,14885152
610,34,16066912
610,34,16175298
687,40,18564716
690,41,18949706
782,48,22485418
785,49,22611707
1193,64,22979664
1196,65,23602274
1199,66,24511838
1316,75,31316465
1316,76,31444288
1319,77,31548054
1665,115,32011463
1754,119,33017649
1757,120,33525753
1944,124,36809076
1947,125,36972736
2178,130,43420948
2272,138,43556955
2275,139,44158506
2276,140,44875264
2279,142,45507622
2315,146,46492128
2318,147,46784883
2376,151,49396543
2379,152,49651186
2435,156,52646874
2438,157,54537126
2676,166,55472910
2676,166,55582287
2692,168,55771967
2695,169,56357797
2695,169,56761162
2712,171,59471479
2828,174,60855181
2897,178,61691727
2900,179,63377121
2903,180,63619871
2961,184,66508626
2961,184,66647680
2964,185,66831288
3043,189,70852199
3046,190,71575389
3409,198,77720917
3412,199,81792805
4001,218,90824152
4001,218,91191389
4001,218,91528477
4004,219,91802076
4004,219,92291814
4004,219,100904208
4004,219,102841239
4004,219,103178147
4004,219,104381659
4060,223,105011863
4063,224,105480812
4121,228,108009415
4124,229,108108663
4662,244,109931698
4665,245,110041997
4668,246,110141766
4724,248,110263837
4740,250,110419001
4847,253,111323656
4883,256,114048811
5098,262,115640608
5098,262,115775023
5098,262,117101637
5101,263,118804695
5329,267,119306727
5332,268,119490185
5390,272,123498782
5393,273,123657082
5393,273,123754336
5451,277,126215151
5454,278,126374333
5454,278,126581195
5696,284,128496274
5696,284,128634877
5699,285,128757509
5702,286,129448289
5756,289,134984311
5779,292,135103026
5779,293,135431539
5974,298,135742578
5977,300,137582646
5977,300,137668959
6111,304,179410714
6114,305,181904902
6117,306,182016062
6126,308,213083676
6136,310,225256638
6136,310,283336840
6136,310,286886267
6136,310,288394847
6136,310,292494858
6136,310,317234557
6136,310,335309746
6136,310,440383928
6136,310,509321899
6136,310,532172368
6136,310,564250326
6136,310,774475435
6136,310,1107262690
6136,310,1802388510
6136,310,2253155758
6137,311,2999358147
6137,311,3129187999
6137,311,3176019229
6137,311,5669349753
6201,314,6488747563
6201,314,6669256800
6201,314,6803738348
6201,314,7503233812
