instructions_covered,branches_covered,time_taken_nanos
528,29,9015517
531,30,9426266
594,35,11286822
597,36,11600647
1097,60,13975759
1100,61,14056562
1103,62,14155880
1103,62,14240520
1164,67,17537559
1167,68,17661955
1214,75,19472146
1214,75,19541026
1275,80,21070906
1278,81,21168601
1350,89,22979443
1353,90,23053403
1406,96,24170821
1409,97,24304825
1510,103,24660279
1510,103,24748727
1554,109,28494266
1554,109,28568877
1622,117,31567761
1625,118,32080653
1803,128,33441923
1803,128,33527806
1964,136,33622816
1967,137,33737183
2068,143,38116333
2068,143,38220661
2356,158,40366808
2356,158,40534787
2391,161,40645637
2394,162,40961926
2435,165,41286351
2507,174,41801087
2507,174,41875187
2570,179,42652791
2570,179,42730829
2573,180,42804629
2647,186,44429839
2647,186,44506094
2647,187,48146473
