instructions_covered,branches_covered,time_taken_nanos
576,39,9094688
614,42,9183877
614,42,9332769
617,43,9624532
668,51,12694320
668,51,12774793
732,56,13263208
792,64,13367576
795,65,13481262
798,66,13673616
801,67,14024652
851,72,15690068
852,73,16016216
903,80,17884838
906,81,18021677
959,91,19480673
959,91,19592384
1030,96,21590431
1033,97,21900569
1122,108,26082716
1126,109,26163649
1288,119,26280691
1291,120,26526146
1294,121,26695928
1368,132,30336789
1368,132,30477716
1412,137,30570813
1415,138,30649722
1471,143,33933606
1474,144,34030660
1531,149,36094151
1534,150,36532612
1597,155,38732472
1600,156,38814136
1661,161,41233933
1664,162,41835613
1666,163,43907210
