instructions_covered,branches_covered,time_taken_nanos
550,19,9793433
551,20,9918630
551,20,10035832
632,29,11160293
662,31,11254011
662,31,11334684
993,45,11576592
1289,61,12089214
1289,61,12256601
1292,62,12911312
1425,78,13896259
1585,86,13989766
1585,86,14063566
1588,87,14556650
1817,97,18747243
1817,97,18854076
1820,98,19358612
1989,111,24658026
2137,120,24829571
2137,120,43911128
2137,120,73159233
2214,131,92133416
2217,132,104790445
2217,133,220198244
2217,133,266388831
2218,134,415876132
2218,134,702623249
