instructions_covered,branches_covered,time_taken_nanos
300,23,10486815
334,28,10820548
336,29,10918454
658,55,14529438
753,61,14730048
756,62,14945807
799,68,15127031
873,76,16481999
876,77,16649757
941,83,17232702
941,83,17331529
977,94,18277232
977,94,18390426
980,95,18577581
984,96,18735721
1031,103,22174578
1031,103,22277053
1060,111,24272946
1063,112,24492712
1139,121,29388872
1142,122,29529038
1203,127,32782875
1206,128,32910046
1248,134,36184803
1248,134,36550385
1313,140,37091351
1316,141,37725473
1417,151,38007327
1417,151,38111414
1496,157,39852664
1496,157,40451830
1555,162,42972127
1558,163,43210689
1620,169,44057464
1623,170,44230051
1710,180,45991640
1710,180,46252765
1739,183,46390827
1744,185,46789332
1749,187,49267439
1750,189,49829725
1753,190,50400436
1794,195,112461444
1799,197,125710135
1804,199,126891124
1809,201,129877524
1850,206,242304323
1891,211,244587801
1925,215,245478609
1928,216,331471857
