instructions_covered,branches_covered,time_taken_nanos
509,34,9306559
593,42,9465560
956,57,9619332
959,58,9723720
959,58,9812217
993,64,11653186
994,65,11864337
1054,71,12434047
1057,72,12843974
1167,77,15212603
1170,78,15684698
1279,84,19165475
1282,85,19250046
1326,92,22237307
1326,92,22437657
1441,98,25278822
1441,98,25396035
1610,103,28854149
1613,104,29338607
1722,112,29488281
1883,120,29617546
1883,120,29740318
1886,121,30026992
2318,157,31817536
2390,166,32454994
2393,167,32657517
2457,173,32988825
2460,174,33190257
2579,179,35924680
2582,180,36339356
2582,183,38371568
2585,184,39164771
2625,185,44007440
2628,186,44160350
2628,186,90156529
2633,188,113858553
2636,189,128294504
2636,189,396598728
2636,189,1337552398
