instructions_covered,branches_covered,time_taken_nanos
510,44,10539055
608,49,10656828
608,49,10755175
647,50,10875693
650,51,11462676
701,58,14139710
743,61,14401586
744,62,14509802
744,63,14940037
804,69,15385351
807,70,16022088
844,77,17532611
844,78,18314733
929,96,20482772
929,96,20710654
929,97,23543764
1097,110,23820889
1097,110,23941298
1100,111,24146036
1103,112,24604965
1175,118,26982001
1178,119,27506365
1222,127,32526189
1225,128,32669611
1227,130,33582992
1227,130,34146480
1321,133,45162740
1335,137,47168121
1734,166,965027012
1734,166,997306443
1734,166,997809436
1734,166,999035099
1734,166,1003865765
1734,166,1010736337
1734,166,1012486154
1734,166,1012635407
1734,166,1013240003
1734,166,1016364595
1734,166,1016799109
1734,166,1017577103
1734,166,1017869027
1734,166,1018216134
1734,166,1018427335
1734,166,1022064849
1734,166,1022308331
1734,166,1024429240
1734,166,1029266970
1734,166,1041733048
1809,169,1136019015
1809,169,1182641491
1809,169,1184572080
1809,169,1187246850
1809,169,1187864841
1809,169,1201244190
1809,169,1217630017
1809,169,1235531998
1809,169,1244248960
1809,169,1248056376
1809,169,1255183525
1809,169,1255475909
1809,169,1257029564
1809,169,1260936279
1809,169,1266787819
1809,169,1271265716
1809,169,1276390580
1809,169,1285316398
1809,169,1289458538
1809,169,1296468315
1809,169,1299552490
1809,169,1299939864
1809,169,1303643825
1809,169,1311059030
1809,169,1315560531
1809,169,1320152605
1809,169,1331867108
1809,169,1419445181
1809,169,1432798922
1809,169,1433593718
1809,169,1442047050
1809,169,1442979297
1809,169,1443412488
1809,169,1447243850
1809,169,1454488892
1809,169,1469527546
1809,169,1482595094
1809,169,1484849456
1809,169,1508483512
1809,169,1509100832
1809,169,1526485933
1809,169,1528057702
1809,169,1530570645
1809,169,1535819543
1809,169,1538286229
1809,169,1540309403
1809,169,1542876579
1809,169,1546605727
1809,169,1550265474
1809,169,1551638797
1809,169,1551961589
1809,169,1572521156
1809,169,1596294736
1809,169,1610498618
1809,169,1616937883
1809,169,1630098897
1809,169,1641486201
1809,169,1647530607
1809,169,1664067180
1809,169,1672264457
1809,169,1676521606
1809,169,1678739349
1809,169,1688518574
1809,169,1694394131
1809,169,1699353530
1809,169,1701439344
1809,169,1713922264
1809,169,1717170620
1809,169,1721191872
1809,169,1723749901
1935,175,1784006469
1938,176,1849131686
1938,176,1863289460
1938,176,1865722010
1938,176,1890463735
1938,176,1895782706
1938,176,1896456263
1938,176,1914709650
1938,176,1959948574
1938,176,1965397372
1938,176,1978457716
1938,176,1985667852
1938,176,1998182021
1938,176,2012140427
1938,176,2016971033
1938,176,2022855676
1938,176,2037419971
1938,176,2065550899
1938,176,2066107775
1938,176,2071589465
1938,176,2082517668
1938,176,2091790263
1938,176,2096171988
1938,176,2099303543
1938,176,2100862588
1938,176,2106923025
1938,176,2110926172
1938,176,2144537939
1938,176,2148583196
1938,176,2149102991
1938,176,2151952813
1938,176,2160356761
1938,176,2167798456
1938,176,2188376229
1938,176,2194028852
1938,176,2199275958
1938,176,2208195694
1938,176,2211649721
1938,176,2214639588
1938,176,2224230255
1938,176,2351468579
1938,176,2358229113
1938,176,2365545279
1938,176,2393199434
1938,176,2413695251
1938,176,2415888398
1938,176,2447089045
1938,176,2460994641
1938,176,2475853614
1938,176,2484087350
1938,176,2502194330
1938,176,2515369020
1938,176,2561912438
1938,176,2573827992
1938,176,2589774517
1938,176,2594317006
1938,176,2595496963
1938,176,2609378012
1938,176,2630268818
1938,176,2637569235
1938,176,2639627817
1938,176,2720122484
1938,176,2734390968
1938,176,2765458212
1938,176,2771364066
1938,176,2779108744
1938,176,2787792844
1938,176,2790409143
1938,176,2796574289
1938,176,2802138064
1938,176,2808413518
1938,176,2815707122
1938,176,2827716665
1938,176,2837034475
1938,176,2839990648
1938,176,2840620452
1938,176,2846273487
1938,176,2855953193
1938,176,2865202885
1938,176,2890479804
1938,176,2891317802
1938,176,2900001040
1938,176,2910678508
1938,176,2911791467
1938,176,2922717897
1938,176,2929690733
1938,176,2932909434
1938,176,2945247168
1938,176,2953689489
1938,176,2955800070
1938,176,2963344970
1938,176,2988265814
1938,176,2989143147
1938,176,3002960756
1938,176,3012351395
1938,176,3022578600
1938,176,3135209266
1938,176,3147995651
1938,176,3170139472
1938,176,3195477036
1938,176,3201882266
1938,176,3202830924
1938,176,3204541987
1938,176,3217810326
1938,176,3223246089
1938,176,3224757584
1938,176,3246297770
1938,176,3255824377
1938,176,3264643281
1938,176,3273008216
1938,176,3291953785
1938,176,3301033374
1938,176,3307395182
1938,176,3309065057
1938,176,3311740779
1938,176,3321913400
1938,176,3323157518
1938,176,3341586247
1938,176,3342797332
1938,176,3350808346
1938,176,3351881580
1938,176,3355685300
1938,176,3371947593
1938,176,3376100444
1938,176,3378093071
1938,176,3381394147
1938,176,3381925194
1938,176,3408565517
1938,176,3418644140
1938,176,3428334497
1938,176,3429480739
1938,176,3435364822
1938,176,3438402179
1938,176,3439509628
1938,176,3441460044
1938,176,3444927737
1938,176,3445848282
1938,176,3455391880
1938,176,3457922086
1938,176,3461668427
1938,176,3462325131
1938,176,3464160670
1938,176,3473322235
1938,176,3474266966
1938,176,3476154513
1938,176,3479562573
1938,176,3483029033
1938,176,3483833057
1938,176,3495317084
1938,176,3499218017
1938,176,3511217080
1938,176,3519723192
1938,176,3525770013
