instructions_covered,branches_covered,time_taken_nanos
394,25,7645061
803,49,7982991
803,49,8082660
806,50,8206505
858,58,12423438
861,59,12548004
926,66,14871878
929,67,15045487
1237,85,17625427
1237,85,17786222
1240,86,18088104
1300,92,18294305
1336,95,18384296
1336,95,18497931
1636,103,22487323
1639,104,22590418
1674,107,22700377
1690,109,23165548
1727,111,24429444
1814,118,27295225
1814,118,27434720
1826,120,27528958
1829,121,27610623
1832,122,27758924
1902,128,28407894
1902,128,28480973
1905,129,28830425
1968,135,29994461
1971,136,30309508
2030,141,33944157
2030,141,34104291
2033,142,34579471
2037,143,35853897
2040,144,111884623
2043,145,242754741
