instructions_covered,branches_covered,time_taken_nanos
356,29,8213007
372,31,8314609
372,31,8429858
470,34,8668340
472,35,8761086
669,55,9805595
669,55,9892350
719,59,9994524
722,60,10076860
724,61,10167642
810,68,10362170
813,69,10617595
882,78,15491111
882,78,15581713
997,90,19842118
1021,93,19929344
1024,94,20089257
1053,96,20378265
1053,96,22516588
1053,96,23412866
1114,101,23921560
1117,102,24081814
1118,103,27571989
1118,103,41381133
1118,103,42287480
1118,103,43070665
1118,103,43837749
1118,103,50060133
1118,103,73719927
1118,103,78103084
1118,103,79371028
1118,103,85740040
1118,103,157106095
1118,103,247008173
1118,103,369811551
1118,103,371432814
