instructions_covered,branches_covered,time_taken_nanos
322,17,8603848
325,18,9185701
357,22,10974792
832,46,12421964
832,46,12507667
835,47,12915961
838,48,13202664
902,54,13330917
902,54,13473678
951,62,16371570
951,62,16443096
1121,67,16641492
1124,68,16790484
1187,73,20815533
1190,74,20967982
1463,87,23383631
1505,90,23550277
1508,91,23962729
1619,96,28036430
1622,97,28190011
1668,104,32454965
1668,104,32544003
1959,123,35202031
1962,124,35359881
1962,124,35500617
1965,125,36196987
1996,130,38288701
2108,135,41815266
2111,136,42177813
2369,147,43832660
2372,148,44710403
2373,149,45799598
2445,156,50261675
2448,157,50459500
2510,162,52390049
2513,163,52598224
2573,168,56126501
2576,169,56450315
2576,170,57846020
2576,170,229796501
2576,170,273980536
2579,171,345374605
