instructions_covered,branches_covered,time_taken_nanos
377,11,9774616
380,12,9963424
461,17,10131643
464,18,10207958
656,27,12170878
656,27,12416384
708,30,13603053
827,37,15982162
830,38,16136915
914,44,16655939
914,44,16728547
1016,49,18404864
1019,50,18534409
1115,55,19749993
1118,56,19858559
1220,61,24231167
1223,62,24500257
1342,68,24951082
1345,69,25120363
1513,84,28577765
1513,84,28677174
1513,84,28959619
1629,90,29170288
1629,90,32156308
1629,90,32492355
1629,90,32946236
1730,95,34793717
1733,96,35210567
1735,97,37839760
1740,98,66009022
1740,98,108651776
1740,98,109277302
1740,98,110784348
1740,98,117727308
1740,98,121639172
1740,98,133475607
1740,98,137159830
1791,101,160273569
1797,102,266528944
1797,102,356079566
1797,102,396783215
1797,102,506270385
2021,108,506402916
2021,108,635645901
2059,109,897934337
2059,109,1011031259
2059,109,2055994362
2059,109,8384933777
