instructions_covered,branches_covered,time_taken_nanos
534,36,9284858
534,36,9366653
537,37,9625764
542,39,10250558
611,45,13542528
614,46,14057684
703,52,15538991
745,58,15668357
748,59,15806899
809,64,18061513
812,65,18346513
1201,99,20695105
1226,102,20813128
1250,107,20993801
1251,108,21088711
1251,108,24415376
1251,108,24698302
1251,108,25034489
1251,108,26029094
1324,114,26238732
1327,115,26412551
1366,121,26918510
1369,122,27521082
1447,128,30230818
1635,137,30416671
1638,138,30549863
1641,139,30958137
1726,151,34237342
1729,152,34386184
1758,157,34879219
1758,157,35305947
1856,170,35937364
1869,172,36400682
1882,174,37539671
1885,175,52457877
2203,188,52658998
2203,188,102261825
2203,188,103315772
2206,189,106657957
2206,189,133136113
2206,189,135457213
2206,189,214372838
2208,190,214563970
2208,190,226692999
2208,190,232604273
2211,191,370644202
2211,191,373780436
2211,191,382232627
2211,191,528795299
2211,191,680430195
2211,191,684397394
2211,191,837783279
2211,191,841341584
2211,191,849028724
2211,191,849717529
2211,191,854708248
2211,191,867106698
2211,191,868652709
2211,191,999371801
2211,191,1003481340
2211,191,1163814754
2211,191,1180251678
2211,191,1215630694
2211,191,1677946480
2211,191,1685043883
2211,191,1711750482
2211,191,1721792024
2211,191,1754261196
2211,191,2828435578
2211,191,2841696472
2211,191,3014667629
2211,191,3085180488
