instructions_covered,branches_covered,time_taken_nanos
337,19,9277344
440,28,9542537
811,44,9676922
811,44,9759128
814,45,10075167
869,54,14441081
872,55,14535550
942,60,16356783
945,61,16737404
1216,74,20170852
1219,75,20257596
1261,78,20360592
1307,84,24299357
1310,85,24499987
1355,91,26735645
1355,91,26809384
1394,96,28480772
1397,97,28640946
1684,116,31011459
1684,116,31088996
1687,117,31204515
1690,118,31303032
1947,129,34669262
1950,130,34985431
2018,136,38633295
2021,137,38828325
2024,138,39352829
2027,139,40473112
2027,139,67313856
2027,139,67561376
2028,140,374541573
