instructions_covered,branches_covered,time_taken_nanos
534,36,8207587
534,36,8311454
537,37,8637893
542,39,10070518
614,46,13121611
614,46,13222502
1066,67,13771272
1066,67,13891650
1069,68,14109563
1072,69,15068170
1114,75,17562107
1117,76,17682516
1178,81,18680647
1181,82,18811485
1571,121,19980571
1574,122,20106901
1575,123,20258909
1575,123,20599565
1575,123,20892570
1575,123,21308078
1648,129,23676547
1651,130,23949494
1690,136,25623497
1693,137,25708017
1774,144,26650363
1774,144,26747387
1804,146,26893243
1889,158,27318820
1892,159,27953443
1921,164,29785636
2019,177,29978892
2019,177,30094902
2022,178,42568755
2035,180,71263232
2035,180,97673140
2035,180,98110078
2035,180,100074441
2035,180,100919853
2037,181,102665662
2037,181,111246716
2037,181,111965388
2037,181,112571457
2050,183,116843144
2050,183,129564867
2050,183,136445468
2050,183,138529218
2211,191,164330251
2211,191,231452825
2211,191,254049063
2211,191,254882744
2211,191,262415211
2211,191,263381803
2211,191,287329162
2211,191,312742792
2211,191,399853120
2211,191,438103439
2211,191,445162700
2211,191,555964673
2211,191,4612061471
2211,191,4729637064
2211,191,5805654823
