instructions_covered,branches_covered,time_taken_nanos
609,21,8999066
611,22,9326046
675,29,12846760
705,31,12972798
708,32,13241197
1034,46,13392203
1092,51,17087187
1095,52,17282407
1144,57,18157666
1145,58,18282032
1415,75,21466066
1417,76,21612273
1417,76,21705741
1459,81,24872443
1459,82,25083323
1614,99,25693459
1617,100,25978980
1676,105,27564566
1679,106,27709851
1748,113,28063241
1751,114,28347500
1980,123,31010197
1983,124,31182764
1983,124,31283204
2055,132,31554248
2058,133,31824911
2125,139,34919326
2128,140,34999528
2191,148,35490739
2216,150,35577954
2216,150,36132325
2232,152,36382229
2232,152,65118225
2232,152,111889475
2233,153,582846145
