instructions_covered,branches_covered,time_taken_nanos
507,35,9755180
547,36,9860950
552,38,9961831
552,38,10254105
657,47,15321771
657,47,15436207
658,48,15768447
993,62,16153828
1026,68,17990078
1027,69,18155492
1085,75,21381416
1088,76,21760124
1197,82,24425115
1200,83,24643058
1242,89,28896330
1245,90,29094816
1414,95,30319177
1417,96,30567628
1684,111,33013934
1684,111,33148219
1687,112,33284407
1690,113,33532998
1993,138,34816321
2072,148,36802165
2072,148,36991083
2139,154,41136500
2142,155,41396553
2263,160,42140212
2266,161,42442165
2268,164,47458032
2268,164,102117193
2271,165,278886602
2271,165,928579169
