instructions_covered,branches_covered,time_taken_nanos
672,46,8698097
765,49,8804358
767,50,9268678
1015,64,12429529
1015,64,12520341
1200,74,12937071
1201,75,13189569
1258,83,16830861
1434,88,16932574
1434,88,17211372
1549,98,17824485
1552,99,17954972
1598,108,21880372
1599,109,22054733
1637,118,22845472
1637,119,22968064
1678,129,25012229
1735,139,25142656
1736,140,25362543
1849,148,27521715
1852,149,27623568
1984,152,27811745
1984,152,27893610
2040,158,31278866
2043,159,31426145
2075,161,31522338
2112,170,33676801
2112,170,33759728
2160,177,36539297
2163,178,36741029
2214,185,37509346
2217,186,37746585
2218,187,40063807
2220,188,79428339
2220,188,99520312
2220,188,138289425
2223,189,180717543
