instructions_covered,branches_covered,time_taken_nanos
1013,52,9598624
1013,52,9700898
1119,63,15382566
1122,64,15500921
1441,78,15700409
1441,78,15870842
1488,92,20889043
1489,93,21074615
1545,98,23650187
1545,99,24045316
1633,110,26113747
1636,111,26338192
1723,122,28230308
1723,122,28327052
1796,127,33156966
1799,128,33634812
1861,133,38942402
1864,134,39146549
1906,140,42820453
1909,141,42954487
2084,147,45504640
2087,148,46623681
2152,154,48933369
2155,155,49035733
2282,162,51253687
2285,163,52278329
2462,180,55080330
2463,181,55430444
2466,182,66554979
2496,184,96804214
2717,196,136222888
2720,197,138170089
2723,198,142260222
2726,199,142429092
2726,199,148659981
2726,199,502681678
2726,199,520687045
2726,199,598042726
2726,199,638929183
2726,199,653680653
2726,199,666084332
2726,199,802489837
2726,199,855878430
