instructions_covered,branches_covered,time_taken_nanos
376,23,9025638
376,23,9107153
381,25,9485820
384,26,9630174
477,33,12312618
842,48,12437124
845,49,12582339
848,50,12877188
894,57,16032388
894,57,16103944
954,63,16723909
957,64,17243434
1001,71,18056555
1004,72,18437467
1078,78,20121689
1081,79,20270792
1269,88,20423171
1272,89,20540353
1705,125,24485391
1708,126,24623803
1787,135,25453496
1790,136,25754366
1855,143,26148904
1855,143,26238343
1861,146,27305005
1861,146,54847569
1864,147,123840830
1864,147,181477706
1864,147,344424827
