instructions_covered,branches_covered,time_taken_nanos
827,62,7866239
827,62,7948034
883,68,12579714
885,69,12753613
975,78,15969348
975,78,16065801
976,79,16284135
1322,95,16603160
1376,105,17087718
1376,106,17614567
1580,123,19256309
1580,123,19397376
1838,138,19807764
1838,138,20038531
1841,139,20593864
1908,146,23488620
1911,147,23653393
1981,154,27097320
1984,155,27240211
2048,161,28844091
2078,163,28992112
2081,164,29072624
2263,174,29174698
2359,184,31210406
2362,185,31314273
2368,186,31534902
2590,195,32193660
2593,196,32451098
2698,208,33946402
2701,209,34057894
2707,210,34760866
2717,213,36214852
2720,214,59555793
2834,222,91079954
2929,231,103954727
2938,233,114862532
2941,235,162055793
2941,235,198830857
2941,235,245368174
2941,235,312894644
2946,237,372785632
2947,238,1405295795
2947,238,4597778045
