instructions_covered,branches_covered,time_taken_nanos
208,10,10881755
208,10,10987696
211,11,11761092
652,35,13314787
706,39,13540044
770,45,13746555
773,46,14088333
909,56,16618729
909,56,16774174
912,57,17372708
928,59,17573709
1096,70,18291149
1277,80,19486144
1280,81,19625669
1280,81,19726199
1283,82,20051446
1372,90,22580439
1372,90,22674196
1375,91,22969827
1608,98,24926666
1611,99,25109452
1614,100,26306982
1683,106,29895975
1686,107,30421401
1817,118,34340189
1817,118,34444967
1820,119,34822373
1916,124,35668617
1970,128,39660382
2178,140,41262920
2178,140,41543993
2181,141,41805929
2203,142,42279066
2292,146,42501077
2348,152,46162487
2351,153,46438650
2367,157,48514986
2370,158,48885849
2412,163,49328788
2415,164,49514971
2476,168,51169387
2476,168,51323008
2546,173,53583252
2546,173,53731904
2549,174,54611642
2551,175,57845411
2554,177,65251158
2557,178,65424045
2560,179,84047054
2605,185,146965941
2667,192,173729118
2670,193,176073281
2670,193,503760734
2673,194,1212798364
2676,195,2114720269
