instructions_covered,branches_covered,time_taken_nanos
356,29,8823634
372,31,8930817
372,31,9051747
470,34,9282073
472,35,9375390
646,53,10392708
671,56,10490484
671,56,10637583
695,59,10814398
724,61,11036729
724,61,12598109
810,68,14944636
813,69,15088599
879,77,16191850
882,78,16412879
1021,93,18345783
1021,93,18435213
1024,94,18538418
1053,96,18851922
1053,96,20353168
1114,101,21811081
1117,102,22029044
1118,103,22992210
1118,103,41005232
1118,103,42288704
1118,103,42918227
1118,103,290514756
1118,103,540496214
1118,103,1061431713
