instructions_covered,branches_covered,time_taken_nanos
121,8,9076685
256,15,9273568
259,16,9415417
329,24,9647637
329,24,9743709
425,32,10468383
428,33,10708919
531,39,14089496
627,43,14209203
630,44,14428909
716,50,15706631
719,51,16198373
824,59,18127039
827,60,18199536
903,66,19853741
906,67,19928153
1075,75,20128602
1078,76,20394527
1189,85,23100225
1192,86,23175458
1293,94,27285157
1296,95,27361161
1442,102,27483012
1599,109,29369288
1599,109,29469748
1640,114,29566952
2017,135,32256250
2020,136,32362481
2025,138,32530930
2035,141,33141047
2147,146,36580375
2278,158,36767240
2281,159,37044305
2417,168,38368725
2417,169,39171376
2526,173,39720287
2526,173,39832259
2529,174,39953208
2532,175,40238269
2659,181,44936624
2659,181,45060469
2662,182,45261380
2667,184,47626142
2672,186,48061487
2727,189,49136705
2903,196,50001655
2906,197,50242451
3078,202,50551136
3078,203,56661768
