instructions_covered,branches_covered,time_taken_nanos
448,33,8751608
448,33,8841008
550,41,13624264
921,57,13789076
924,58,13894176
927,59,14082913
969,65,15814125
972,66,15941156
1043,72,18558096
1043,72,18658186
1237,86,21233347
1240,87,21333206
1243,88,21417035
1522,102,22122272
1522,102,22218744
1564,105,22310508
1605,111,24751044
1608,112,24872514
1648,118,25846871
1648,118,25963582
1684,123,28238394
1687,124,28400361
1783,133,29450361
1786,134,29544770
1816,136,29719391
1984,145,29941642
2239,156,32748162
2239,156,32889259
2242,157,33286662
2243,158,36278674
2303,164,38630391
2306,165,38988029
2307,166,42061565
2307,166,70283938
2307,166,113701062
