instructions_covered,branches_covered,time_taken_nanos
351,19,9121830
411,24,9253199
414,25,9396000
520,34,10807395
893,50,10928815
893,50,11002966
896,51,11348260
942,58,14600705
945,59,14677571
1018,65,15647659
1018,65,15760012
1059,71,16686889
1059,71,16764186
1374,87,18441625
1374,87,18532577
1377,88,18718570
1426,95,22438921
1426,95,22545554
1466,100,25610914
1469,101,25771077
1588,112,28831749
1591,113,28923873
1591,113,29209304
1759,122,29367113
1833,127,31616006
1833,127,31701158
2109,139,35957175
2112,140,36057825
2112,140,36147215
2112,140,36437305
2147,148,36994391
2184,150,38595686
2437,160,42422499
2437,160,42530774
2437,160,42667103
2440,161,42996838
2501,166,44607881
2501,166,44700687
2501,167,45455988
2504,168,48432560
2504,168,81632058
2504,168,153423272
2505,169,1693398138
