instructions_covered,branches_covered,time_taken_nanos
234,11,9138902
237,12,9665610
311,18,13297865
341,20,13408184
417,26,13586632
420,27,13950753
678,37,17571876
720,40,17703576
723,41,17908625
771,48,18416748
771,48,18489516
845,56,21287579
1058,66,21448284
1058,66,21531081
1061,67,21919427
1175,72,25236895
1178,73,25468795
1409,82,25747894
1412,83,25878281
1475,88,28323806
1478,89,28452280
1546,95,32025833
1549,96,32121334
1553,97,33170763
1556,98,38019423
1846,110,74490331
1846,110,110881488
1846,110,114218683
1847,111,282038493
