instructions_covered,branches_covered,time_taken_nanos
457,28,9165513
497,29,9255854
502,31,9406039
502,31,9629132
574,38,14296018
604,40,14492320
605,41,14673093
925,55,15224508
965,61,18668185
968,62,18817718
1028,68,20524263
1031,69,20630194
1100,74,22580060
1103,75,22899776
1224,80,23097420
1227,81,23507147
1276,88,27406437
1279,89,27503161
1337,94,28767958
1340,95,29440593
1445,103,32154176
1445,103,32279013
1486,108,32562681
1753,129,32751779
1756,130,33434423
1835,139,33920655
1838,140,34060740
1902,146,34373192
1905,147,34840268
1911,150,35316220
1911,150,35483407
1911,150,37487455
1911,151,38851711
1914,152,77259491
2075,160,78537804
2078,161,113269024
2078,161,175403655
2078,161,2754981447
