instructions_covered,branches_covered,time_taken_nanos
285,13,8757169
288,14,9223553
383,21,12930008
465,25,13043683
468,26,13132221
471,27,13319296
512,33,16212209
515,34,16429551
589,40,17989518
908,54,18505997
908,54,18587752
911,55,18708491
988,61,23099533
991,62,23215884
1029,67,24227671
1032,68,24362838
1160,80,25565237
1160,80,25643996
1163,81,25795233
1166,82,25947802
1435,92,29339671
1438,93,30220230
1506,99,31003274
1509,100,31203123
1513,101,34255338
1516,102,57211380
1516,102,60306987
1516,102,62147827
1517,103,682682497
